Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Mean Block Receive Time.1,Mean Block Propagation Time.1,Mean Block Size.1,Total Blocks.1,Stale Blocks.1,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork.1,Blocks in Forks.1,Mined Blocks in Main Chain.1,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
0,517.708,1.17507,475198,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4752878,0,0,0,15,0,517.641,0.82035,475198,11.0,0,18281.3,1518.75,1640.62,1218.75,4455820,0.0,0.0,11,0.762012,1.05922,1.13596,0.82035,36562.5,3037.5,3281.25,2437.5,8911650,895.697,8956960
1,636.018,0.479448,497519,943,248,268,2235.96,440201,0.3,8,1314300,1269280,19440,109188,117950,81750,42600,87620,350698496,372966450,10,496,15,58,803.726,285.911,511759,746.0,53,1333780.0,103579.0,115688.0,84806.2,352090000,7.1875,106.0,693,310.26,310.521,310.627,291.022,2667560.0,207158.0,231375.0,169612.0,704180000,949.606,707456000
1,598.778,0.498293,512561,1002,274,296,2015.65,455160,0.3,9,1374750,1330890,21870,114210,123375,91665,47790,91650,378306250,457598850,10,548,15,65,763.969,271.203,529385,785.0,57,1402720.0,108439.0,121393.0,88908.8,383262000,7.1875,114.875,728,294.5,294.804,294.821,276.272,2805440.0,216878.0,242786.0,177818.0,766524000,982.101,769967000
1,634.368,0.476943,498034,946,261,296,2025.33,462088,0.3,16,1265550,1267460,38880,105138,113575,165930,86280,84370,333921199,844085025,10,522,15,118,765.745,567.867,507843,779.0,96,1393180.0,100997.0,116847.0,84489.4,365806000,10.0,193.875,683,614.206,614.689,614.819,576.086,2786370.0,201994.0,233694.0,168979.0,731613000,944.735,735004000
1,618.429,0.479649,508927,970,278,294,2029.8,450872,0.3,11,1316250,1291530,26730,109350,118125,122430,63030,87750,360825505,574077615,9,556,15,88,772.813,441.677,521886,776.0,84,1388070.0,104186.0,118394.0,86205.0,374154000,9.0,169.75,692,478.84,479.234,479.289,449.112,2776150.0,208372.0,236788.0,172410.0,748308000,969.937,751701000
1,605.108,0.465637,509440,989,257,277,2157.74,419463,0.3,7,1386450,1331970,17010,115182,124425,73050,37950,92430,387055906,342389685,8,514,15,52,767.931,195.592,534915,778.0,47,1390890.0,109046.0,121214.0,89025.0,384264000,8.0,94.0,731,212.294,212.551,212.617,199.183,2781790.0,218092.0,242428.0,178050.0,768529000,993.499,771949000
0,495.45,0.951136,464850,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5114340,0,0,0,15,0,495.466,0.721454,464850,12.0,0,20109.4,1670.62,1804.69,1340.62,4794690,0.0,0.0,12,0.663638,0.829317,0.902464,0.721454,40218.8,3341.25,3609.38,2681.25,9589390,876.294,9639240
1,603.027,0.455378,497370,995,286,324,1834.49,442165,0.3,19,1306500,1319630,46170,108540,117250,192030,100230,87100,351031261,872838090,8,571,15,136,732.945,582.511,506861,818.0,109,1463160.0,104642.0,121924.0,87920.6,383644000,8.0,218.5,709,630.126,630.556,630.642,590.985,2926320.0,209284.0,243848.0,175841.0,767288000,943.505,770844000
1,635.758,0.498339,517281,944,224,248,2409.39,458112,0.3,9,1355250,1311610,21870,112590,121625,89235,46710,90350,374118471,444828750,9,447,15,63,779.109,252.589,531427,770.0,50,1380960.0,106920.0,119601.0,87622.5,378538000,6.1875,101.062,720,273.36,273.632,273.662,256.429,2761920.0,213840.0,239201.0,175245.0,757076000,988.902,760466000
0,580.697,1.0498,591857,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5327520,0,0,0,15,0,580.66,0.787627,591857,10.0,0,16453.1,1366.87,1476.56,1096.88,4994550,0.0,0.0,10,0.707423,0.921784,0.949004,0.787627,32906.2,2733.75,2953.12,2193.75,9989100,1114.43,10029900
