Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
627.356,0.468268,503734,957,260,294,2029.0,440547,0.3,12,1290900,1269820,29160,107244,115850,125055,64980,86060,351926522,606685950,9,520,15,89,1,785.319,405.474,520927,764,67,1366140,102364.0,116425,84742.5,367849000,9.0,135.625,697,439.64,440.002,440.084,412.374,2732270,204727,232851,169485,735698000,968.594,739037000
605.108,0.465637,509440,989,257,277,2157.74,419463,0.3,7,1386450,1331970,17010,115182,124425,73050,37950,92430,387055906,342389685,8,514,15,52,1,767.931,195.592,534915,778,47,1390890,109046.0,121214,89025.0,384264000,8.0,94.0,731,212.294,212.551,212.617,199.183,2781790,218092,242428,178050,768529000,993.499,771949000
663.42,0.453576,512711,902,240,272,2197.81,452591,0.3,14,1226550,1220140,34020,101898,110075,144885,75360,81770,338564268,678523575,11,480,15,103,1,805.187,595.084,523363,743,81,1330340,97655.6,112251,81369.4,359812000,11.0,163.125,662,643.659,644.054,644.128,603.652,2660690,195311,224501,162739,719623000,974.214,722867000
631.758,0.503817,511643,950,264,290,2065.98,446583,0.3,14,1285050,1273120,34020,106758,115325,141240,73740,85670,355620155,688203585,10,527,15,100,1,777.534,444.909,527578,771,85,1379970,102212.0,116945,84924.4,376407000,7.1875,170.75,686,481.747,482.076,482.248,451.852,2759940,204424,233889,169849,752813000,982.054,756181000
654.741,0.469766,504178,915,269,292,2051.6,460249,0.3,11,1212900,1190210,26730,100764,108850,111495,58170,80860,326874277,569129295,8,538,15,79,1,835.951,424.89,519049,715,71,1275520,96136.9,109015,79441.9,342015000,8.0,142.375,644,461.6,461.978,462.02,432.939,2551050,192274,218031,158884,684030000,962.396,687151000
629.717,0.468458,499138,952,266,277,2161.38,452473,0.3,9,1314300,1274470,21870,109188,117950,91665,47790,87620,349281221,410193630,9,532,15,65,1,796.16,300.615,508738,753,67,1346050,103731.0,116307,85130.6,353088000,7.125,134.5,686,326.229,326.501,326.604,305.989,2692100,207461,232614,170261,706176000,943.456,709479000
616.01,0.461974,521217,974,273,304,1956.01,458234,0.3,15,1304550,1297050,36450,108378,117075,152370,79470,86970,367900094,697839750,8,546,15,108,1,759.177,461.954,532354,790,89,1412260,103882.0,119281,86501.2,388521000,8.0,178.5,701,500.3,500.679,500.764,469.221,2824520,207765,238562,173002,777043000,989.21,780486000
622.334,0.550557,530544,963,251,265,2255.69,460016,0.3,6,1359150,1299680,14580,112914,121975,59490,31140,90610,388445948,300555090,7,502,15,42,1,795.788,197.8,550899,753,41,1347810,106768.0,118070,86893.1,382953000,6.0625,83.875,712,214.815,215.014,215.06,201.515,2695620,213536,236139,173786,765906000,1022.91,769225000
619.687,0.45982,515395,965,276,304,1960.92,461987,0.3,13,1287000,1269210,31590,106920,115500,130110,68010,85800,356309307,625711725,9,552,15,92,1,780.796,422.905,528119,766,77,1367790,102212.0,116413,84688.1,373147000,7.125,154.5,689,458.82,459.22,459.269,430.339,2735580,204424,232826,169376,746294000,979.916,749636000
642.542,0.482526,525486,934,269,288,2078.52,448645,0.3,9,1257750,1220610,21870,104490,112875,89235,46710,83850,360905400,440273505,7,538,15,63,1,830.537,320.66,549057,723,58,1289550,99326.2,111397,81528.8,365866000,6.0625,116.125,665,348.617,348.966,349.028,327.01,2579110,198652,222795,163058,731732000,1017.86,734895000
619.483,0.492419,509415,968,259,287,2088.71,470400,0.3,9,1326000,1284310,21870,110160,119000,89235,46710,88400,357919500,468853665,9,518,15,63,1,792.032,196.381,522566,758,49,1353540,104642.0,117140,85794.4,364853000,6.1875,98.0,709,213.225,213.534,213.556,200.067,2707080,209284,234279,171589,729706000,968.333,733028000
652.388,0.476579,507016,919,259,281,2129.12,431378,0.3,11,1242150,1220210,26730,103194,111475,117570,60870,82810,344087366,573876270,11,518,15,84,1,816.479,480.236,528404,734,74,1311640,98415.0,111856,81438.8,358449000,11.0,148.625,660,520.737,521.18,521.209,488.418,2623290,196830,223712,162878,716898000,982.408,720105000
629.651,0.446391,475496,953,277,304,1972.9,432540,0.3,12,1263600,1243800,29160,104976,113400,123840,64440,84240,321382406,533338905,8,554,15,88,1,799.234,481.607,484144,750,76,1338800,100237.0,114052,83002.5,334630000,8.0,152.75,674,522.929,523.24,523.312,490.42,2677600,200475,228105,166005,669259000,897.906,672532000
598.778,0.498293,512561,1002,274,296,2015.65,455160,0.3,9,1374750,1330890,21870,114210,123375,91665,47790,91650,378306250,457598850,10,548,15,65,1,763.969,271.203,529385,785,57,1402720,108439.0,121393,88908.8,383262000,7.1875,114.875,728,294.5,294.804,294.821,276.272,2805440,216878,242786,177818,766524000,982.101,769967000
662.536,0.48218,511413,906,252,272,2195.16,492944,0.3,8,1234350,1193580,19440,102546,110775,79320,41520,82290,328891857,367483140,10,504,15,56,1,853.649,295.18,512707,703,49,1255350,97351.9,108809,79741.9,331304000,6.25,99.0,654,320.87,321.128,321.159,300.946,2510700,194704,217618,159484,662608000,948.277,665690000
