Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
527.793,1.33597,635086,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6986936,0,0,0,15,0,0,527.739,0.88325,635086,12.0,0,20109.4,1670.62,1804.69,1340.62,6550250,0,0,12,0.789948,1.14678,1.25555,0.88325,40218.8,3341.25,3609.38,2681.25,13100500,1195.49,13150400
615.551,1.13226,516198,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,4646589,0,0,0,15,0,0,615.562,0.799599,516198,10.0,0,16453.1,1366.87,1476.56,1096.88,4356180,0,0,10,0.669203,1.01048,1.07695,0.799599,32906.2,2733.75,2953.12,2193.75,8712350,972.571,8753140
1579.07,0.732247,673913,4,0,0,0.0,0,0.002,0,5850,5460,0,486,525,0,0,390,2022010,0,0,0,15,0,0,1578.98,0.7468,673913,4.0,0,5484.38,455.625,492.187,365.625,1895630,0,0,4,0.568162,0.986496,1.03271,0.7468,10968.8,911.25,984.375,731.25,3791270,1268.29,3804860
596.026,0.902309,455996,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4560855,0,0,0,15,0,0,596.031,0.711326,455996,11.0,0,18281.3,1518.75,1640.62,1218.75,4275800,0,0,11,0.636667,0.799201,0.827051,0.711326,36562.5,3037.5,3281.25,2437.5,8551600,859.692,8596920
415.796,1.07234,467254,15,0,0,0.0,0,0.002,0,27300,25480,0,2268,2450,0,0,1820,6542819,0,0,0,15,0,0,415.77,0.78698,467254,15.0,0,25593.8,2126.25,2296.88,1706.25,6133890,0,0,15,0.650265,0.994336,1.07234,0.78698,51187.5,4252.5,4593.75,3412.5,12267800,880.802,12331200
452.992,1.00163,565624,14,0,0,0.0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,7354279,0,0,0,15,0,0,452.954,0.765848,565624,14.0,0,23765.6,1974.38,2132.81,1584.38,6894640,0,0,14,0.608292,0.908287,1.00163,0.765848,47531.2,3948.75,4265.62,3168.75,13789300,1065.25,13848200
722.679,1.15374,662333,9,0,0,0.0,0,0.002,0,15600,14560,0,1296,1400,0,0,1040,5299383,0,0,0,15,0,0,722.629,0.841513,662333,9.0,0,14625.0,1215.0,1312.5,975.0,4968170,0,0,9,0.797023,0.997639,1.11507,0.841513,29250.0,2430.0,2625.0,1950.0,9936340,1246.57,9972600
639.997,1.02774,600173,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5402365,0,0,0,15,0,0,640.022,0.795413,600173,10.0,0,16453.1,1366.87,1476.56,1096.88,5064720,0,0,10,0.751953,0.873435,0.972134,0.795413,32906.2,2733.75,2953.12,2193.75,10129400,1130.02,10170200
543.013,1.08901,457373,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5032098,0,0,0,15,0,0,542.994,0.791119,457373,12.0,0,20109.4,1670.62,1804.69,1340.62,4717590,0,0,12,0.765354,0.982364,1.01682,0.791119,40218.8,3341.25,3609.38,2681.25,9435180,862.276,9485030
454.59,1.06725,471388,14,0,0,0.0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,6129213,0,0,0,15,0,0,454.561,0.782377,471388,14.0,0,23765.6,1974.38,2132.81,1584.38,5746140,0,0,14,0.738834,0.949851,0.982396,0.782377,47531.2,3948.75,4265.62,3168.75,11492300,888.553,11551200
