Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
10,714.261,1.29596,536690,34,0,0,0,0,0,0,0,55770,51480,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
11,714.377,3.81636,536690,34,0,0,0,0,0,0,0,72930,68640,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
12,714.312,1.96921,536690,34,0,0,0,0,0,0,0,47190,42900,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
13,714.408,4.18375,536690,34,0,0,0,0,0,0,0,55770,51480,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
14,714.297,2.11899,536690,34,0,0,0,0,0,0,0,55770,51480,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
15,714.248,0.872731,536690,34,0,1,8,2362.97,663858,0.289,0,311610,421460,140940,4050,4375,152250,113100,3250,12402154,564667289,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
16,714.302,2.21591,536690,34,0,0,0,0,0,0,0,60060,55770,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
17,714.253,0.938372,536690,34,0,1,7,3235.89,496035,0.196,0,331240,421330,116478,4212,4550,125825,93470,3380,14240863,358621042,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
18,714.343,3.77846,536690,34,0,0,0,0,0,0,0,12870,8580,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
19,714.365,3.76911,536690,34,0,0,0,0,0,0,0,34320,30030,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
20,714.25,0.950626,536690,34,0,1,5,4242.56,533841,0.159,0,352560,412490,79218,4536,4900,85575,63570,3640,15044078,260586169,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0
21,714.365,3.3979,536690,34,0,0,0,0,0,0,0,60060,55770,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
22,714.271,1.40261,536690,34,0,0,0,0,0,0,0,34320,30030,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
23,714.522,6.02326,536690,34,0,0,0,0,0,0,0,102960,98670,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
24,714.37,3.22065,536690,34,0,0,0,0,0,0,0,60060,55770,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
25,714.288,1.82535,536690,34,0,0,0,0,0,0,0,17160,12870,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
26,714.572,8.07494,536690,34,0,0,0,0,0,0,0,68640,64350,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
27,714.3,2.05276,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
28,714.307,1.9244,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
29,714.345,2.56453,536690,34,0,1,2,9016.49,600101,0.133,0,365300,394940,41958,5022,5425,45325,33670,4030,16513353,132347267,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0
30,714.237,0.967581,536690,34,0,1,5,4713.97,617903,0.066,0,323960,378170,72090,4536,4900,77875,57850,3640,14623770,275006885,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
31,714.409,3.1302,536690,34,0,1,2,10143.6,565718,0.054,0,358670,377780,28836,5022,5425,31150,23140,4030,16582118,100713913,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
32,714.327,2.29118,536690,34,0,0,0,0,0,0,0,30030,25740,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
33,714.398,3.56121,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
34,714.435,4.4949,536690,34,0,0,0,0,0,0,0,72930,68640,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
35,714.284,2.32937,536690,34,0,0,0,0,0,0,0,12870,8580,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
36,714.283,2.00817,536690,34,0,0,0,0,0,0,0,47190,42900,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
37,714.434,4.35093,536690,34,0,0,0,0,0,0,0,34320,30030,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
38,714.359,3.56615,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
39,714.277,1.35534,536690,34,0,0,0,0,0,0,0,17160,12870,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
40,714.3,3.31472,536690,34,0,0,0,0,0,0,0,17160,12870,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
41,714.316,1.98768,536690,34,0,0,0,0,0,0,0,34320,30030,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
42,714.706,10.9574,536690,34,0,0,0,0,0,0,0,77220,72930,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
43,715.558,31.5945,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
44,714.336,3.17012,536690,34,0,0,0,0,0,0,0,12870,8580,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
45,714.367,2.65564,536690,34,0,0,0,0,0,0,0,60060,55770,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
46,714.643,9.10339,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
47,714.526,6.17975,536690,34,0,0,0,0,0,0,0,55770,51480,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
