Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker
15,518.319,0.923189,584460,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5260954,0,0,0,15,0,0
15,527.793,1.33597,635086,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6986936,0,0,0,15,0,0
15,615.551,1.13226,516198,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,4646589,0,0,0,15,0,0
15,1579.07,0.732247,673913,4,0,0,0.0,0.0,0.002,0,5850,5460,0,486,525,0,0,390,2022010,0,0,0,15,0,0
15,596.026,0.902309,455996,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4560855,0,0,0,15,0,0
15,415.796,1.07234,467254,15,0,0,0.0,0.0,0.002,0,27300,25480,0,2268,2450,0,0,1820,6542819,0,0,0,15,0,0
15,452.992,1.00163,565624,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,7354279,0,0,0,15,0,0
15,722.679,1.15374,662333,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,5299383,0,0,0,15,0,0
15,639.997,1.02774,600173,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5402365,0,0,0,15,0,0
15,543.013,1.08901,457373,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5032098,0,0,0,15,0,0
15,454.59,1.06725,471388,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,6129213,0,0,0,15,0,0
15,423.234,1.02081,392321,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5101341,0,0,0,15,0,0
