,Feature1,Label
1940,-164058.3973865011,0
1941,-9351.147755920865,0
1942,9991.624829818158,1
1943,2342.691011637284,1
1944,-99297.30997776358,0
1945,98003.00942808873,0
1946,98470.08416571513,0
1947,-14779.492751236645,1
1948,98003.00944201015,0
1949,-6315.3160292784805,1
1950,-169880.43590246505,0
1951,-120982.34888599608,0
1952,5732.674947896253,1
1953,585.6659990144477,1
1954,-15221.371996246491,1
1955,184006.197715012,0
1956,35468.90734788996,0
1957,-7870.43531666797,1
1958,-6549.289941447033,1
1959,-169612.42883495663,0
1960,-9677.346285231008,1
1961,-6019.558261081622,1
1962,-116250.30988841382,0
1963,6979.712321163836,1
1964,3750.6844769838744,1
1965,-88575.2824244136,0
1966,-38.472153231668614,1
1967,-8731.239882540309,1
1968,-6019.558261081622,1
1969,-6315.316029002809,1
1970,35367.904025104974,0
1971,-6019.5582612194585,1
1972,6580.8666174788195,0
1973,-13391.376863223088,1
1974,585.6659990144477,1
1975,54203.94465731729,0
1976,79825.96716639765,0
1977,-63002.266209774585,0
1978,-9512.411483583894,1
1979,7661.846356115562,0
1980,-7870.435316530135,1
1981,48946.94349589791,0
1982,-23620.40955551539,1
1983,-28864.406039192643,1
1984,-5635.547303100515,1
1985,23967.883143980594,0
1986,60318.95474739837,0
1987,19980.73688384839,1
1988,-63002.26621335832,0
1989,115916.05552539244,0
1990,95571.01011265758,0
1991,104830.03074594532,0
1992,-1780.4806651961107,1
1993,-20686.179082326704,0
1994,-55058.23889441494,0
1995,6856.729778640163,1
1996,132077.10335800424,0
1997,8877.539940821236,1
1998,-1050.4396614402206,1
1999,-9677.346285368843,1
2000,13966.476075106071,1
2001,-76173.25040332667,0
2002,13966.47607496824,1
2003,114202.03587746494,0
2004,79825.96716639765,0
2005,39123.91095910233,0
2006,15988.778249863582,1
2007,61600.96561811744,0
2008,59461.93859000503,0
2009,-122865.35723801043,0
2010,-164058.397398355,0
2011,-48038.196962321585,0
2012,-29722.204313298258,0
2013,-74260.26016133325,0
2014,-12919.534554774878,1
2015,-7870.435316530135,1
2016,-6549.289941309198,1
2017,-38.47215350734052,1
2018,-116250.30989268672,0
2019,-99297.30998644726,0
2020,-11695.384898593114,1
2021,35367.904028964374,0
2022,-119201.35434447842,0
2023,79825.96716446795,0
2024,6833.550535234524,1
2025,5732.674947896253,1
2026,8804.70874742127,1
2027,-1092.378504896861,1
2028,61600.96562473357,0
2029,-76173.25040153482,0
2030,73507.03372453195,0
2031,-1092.3785050346971,1
2032,-1350.4506730958549,1
2033,-45366.550955204504,1
2034,61600.96562928215,0
2035,-6575.29713184761,1
2036,-7841.451595445729,1
2037,-6019.558261357294,1
2038,39123.91096075636,0
2039,20807.88821303589,0
2040,229870.2390656281,0
2041,-3899.4424135933837,1
2042,-21607.571354255713,1
2043,75743.98285875395,0
2044,7661.8463534966795,0
2045,68224.95566018707,0
2046,8877.539940821236,1
2047,-94243.29518694048,0
2048,-13194.535656968199,1
2049,-88575.28243530265,0
2050,3556.6399741925643,1
2051,-3899.4424135933837,1
2052,-140717.3701651015,0
2053,-22224.318176156692,1
2054,-25432.43307344467,1
2055,-9514.373729639427,1
2056,-72883.26525744027,0
2057,-793.4817870127315,1
2058,-34824.49093735318,1
2059,-140929.39068163084,0
2060,54516.938644203925,0
2061,9210.56048517377,1
2062,-1350.4506730958549,1
2063,2094.64036990166,1
2064,-9351.14776694774,0
2065,-13391.376863223088,1
2066,-99757.3047122696,0
2067,-145021.4102731311,0
2068,-88575.28243364861,0
2069,2125.5687138094254,1
2070,-20617.406440636652,1
2071,113556.07266328011,0
2072,-18843.39479382591,1
2073,-46992.49113139779,1
2074,208713.21871621456,0
2075,-72400.26968463746,0
2076,-6575.297131985446,1
2077,-108333.32630243742,0
2078,-28864.40603933048,1
2079,88286.99122506905,0
2080,9210.560485035932,1
2081,6666.451323612768,1
2082,-21607.571354255713,1
2083,13940.60429794182,1
2084,-12919.534554912714,1
2085,160587.1666690574,0
2086,6856.729778778001,1
2087,104830.03074691015,0
2088,6744.608974731268,1
2089,-6575.2971321232835,1
2090,160587.16667167627,0
2091,37202.93063726655,0
2092,37202.93062720452,0
2093,-145021.4102723041,0
2094,6580.866619546358,0
2095,6833.55053537236,1
2096,-17276.366857686073,1
2097,5025.636873721156,1
2098,68224.95565894655,0
2099,5025.636873721156,1
2100,9210.56048517377,1
2101,6856.729778640163,1
2102,-175565.39643878155,0
2103,59461.938598275185,0
2104,-134420.3624280042,0
2105,3026.540088803177,1
2106,63892.969220763116,0
2107,-99298.31552882463,0
2108,22408.75871281544,1
2109,2125.5687138094254,1
2110,-8048.367709340174,1
2111,-22615.586657250853,1
2112,-99297.30998686077,0
2113,-5635.547303514023,1
2114,-20750.171110115924,0
2115,-1350.4506730958549,1
2116,-4614.281360162538,1
2117,-137935.39089971012,0
2118,6580.866622716585,0
2119,48946.94349824112,0
2120,48946.94348928178,0
2121,98003.00942422931,0
2122,-15221.371996246491,1
2123,114202.0358704353,0
2124,67880.96080030897,0
2125,-7870.435316530135,1
2126,73507.03372398061,0
2127,-108333.32629995637,0
2128,-13391.376863223088,1
2129,-26078.44766350816,1
2130,-7274.461141522154,1
2131,-7713.153470269832,0
2132,-14779.49275096097,1
2133,-61837.24338624572,0
2134,-25432.43307372035,1
2135,8424.700014931925,1
2136,37202.930644847525,0
2137,-4614.281360162538,1
2138,-1780.4806654717827,1
2139,127131.07588284911,0
2140,9210.56048517377,1
2141,-4770.311131995801,1
2142,2681.5352227046956,1
2143,88286.99122093398,0
2144,-5979.266711929468,1
2145,23967.883146599477,0
2146,-145021.41027189058,0
2147,259186.2970365041,0
2148,-17436.368724465494,1
2149,60318.95475553069,0
2150,3026.540088803177,1
2151,-23620.40955551539,1
2152,-20694.383545947054,1
2153,-14779.49275109881,1
2154,79825.96716681116,0
2155,-169612.42884653484,0
2156,8804.70874742127,1
2157,9991.624829818158,1
2158,-134420.36243034742,0
2159,3556.6399741925643,1
2160,-9351.147758953257,0
2161,7661.846347294062,0
2162,-171534.4374225531,0
2163,13083.625045075652,1
2164,-88575.28242344875,0
2165,6856.729778778001,1
2166,-85113.30105589543,0
2167,-1050.4396614402206,1
2168,-7713.153475507597,0
2169,113556.07265818019,0
2170,45221.93896838367,0
2171,8804.70874742127,1
2172,-6580.419901832244,1
2173,-14779.49275096097,1
2174,15988.778249863582,1
2175,-38.472153231668614,1
2176,-13391.376863223088,1
2177,17782.657969212152,1
2178,-21607.57135439355,1
2179,-21702.41428760965,1
2180,-72400.2696894617,0
2181,-20764.562843096082,1
2182,201773.205529343,0
2183,-20764.562842958243,1
2184,-9512.41148372173,1
2185,-8509.473597293716,1
2186,-28864.406039192643,1
2187,68224.9556614276,0
2188,264.5562959344982,1
2189,54516.9386425499,0
2190,201773.20553719965,0
2191,585.6659990144477,1
2192,3556.6399743304,1
2193,-21607.57135439355,1
2194,6979.712321163836,1
2195,75236.98916244325,0
2196,-14779.49275096097,1
2197,-5979.266712067305,1
2198,45221.93896245672,0
2199,-33618.45283870436,1
2200,-29722.20431495229,0
2201,-41186.43317294345,1
2202,7661.846357493922,0
2203,-14058.156546199776,0
2204,259186.2970329204,0
2205,-22615.586657250853,1
2206,-99297.30997528254,0
2207,69916.98774778066,0
2208,44288.93067175054,0
2209,-1350.4506730958549,1
2210,-17276.366857686073,1
2211,-23165.154280544728,0
2212,-34824.49093735318,1
2213,13908.602803650077,1
2214,-34824.49093735318,1
2215,3026.540088803177,1
2216,-17436.368724327658,1
2217,9210.56048517377,1
2218,69916.98775549947,0
2219,3750.6844768460383,1
2220,-9677.34628550668,1
2221,3026.540088803177,1
2222,45221.93896521344,0
2223,39123.9109544159,0
2224,2342.691011637284,1
2225,-5272.347261109227,1
2226,143657.2409323626,0
2227,22408.75871281544,1
2228,5732.674947896253,1
2229,-9915.450137600059,1
2230,208713.21870711737,0
2231,44288.930673818075,0
2232,13908.602803787911,1
2233,-169612.4288446051,0
2234,6744.60897500694,1
2235,67880.96079259017,0
2236,-7870.435316530135,1
2237,61600.96562776595,0
2238,63892.96923702776,0
2239,-14058.156553918589,0
2240,54203.944652355196,0
2241,-10541.163992306663,0
2242,132077.10337854183,0
2243,115916.05553752201,0
2244,-145021.41027754184,0
2245,15988.778249725747,1
2246,3026.540088803177,1
2247,-34611.52212103146,1
2248,-8048.367709202339,1
2249,-7870.435316530135,1
2250,-80597.27161029688,0
2251,-38.47215336950457,1
2252,95571.01011086568,0
2253,7661.846358183102,0
2254,-23620.40955551539,1
2255,54203.94465194168,0
2256,-52987.26761425699,0
2257,193981.19873906084,0
2258,67880.9607974144,0
2259,-11695.38489873095,1
2260,-15648.444625709239,1
2261,59461.9385902807,0
2262,35468.90733134964,0
2263,-25432.43307399602,1
2264,55715.05029781644,0
2265,-137935.39089295611,0
2266,-29722.20432625484,0
2267,60318.954752636135,0
2268,-171534.43742655037,0
2269,39123.91096337523,0
2270,128147.06864829865,0
2271,132077.1033773013,0
2272,-24266.376225763383,1
2273,-9512.411483583894,1
2274,128147.06864953917,0
2275,75236.98915582712,0
2276,88286.99122465556,0
2277,-61837.24338679707,0
2278,-20764.562843096082,1
2279,-11695.384898593114,1
2280,-7870.43531666797,1
2281,-63002.26620329629,0
2282,193981.19873409875,0
2283,27971.942218712273,0
2284,-20764.562842958243,1
2285,98003.0094326373,0
2286,27971.942220641977,0
2287,-85113.30106581961,0
2288,-9512.411483583894,1
2289,-6549.289941309198,1
2290,121169.0478582339,0
2291,-6019.5582612194585,1
2292,80436.9652278521,0
2293,-20694.383545809218,1
2294,-80597.27160450777,0
2295,54516.938642825575,0
2296,9210.560485035932,1
2297,-15221.371996384329,1
