Miner Avg Block Size,Hash Rate,Iteration,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
306718.0,0.133,22,0.68801,1.0007,1.03476,0.774796,734.689,389327,688.068,0
541395.0,0.009,97,195.433,195.635,195.658,183.335,970.88,524277,33001.5,1
506496.0,0.159,98,353.119,353.426,353.464,331.21,926.811,501392,4827.51,1
0.0,0.005,7,0.69017,0.784473,0.861041,0.723212,899.581,477269,0.0,0
392932.0,0.012,35,416.324,416.718,416.749,390.509,971.288,523676,35906.6,1
611985.0,0.012,16,500.3,500.679,500.764,469.221,989.21,533283,59108.6,1
374769.0,0.005,96,476.688,477.085,477.105,447.091,946.659,511268,284402.0,1
600196.0,0.159,2,625.239,625.729,625.853,586.427,1011.16,544223,3532.55,1
571908.0,0.012,17,214.815,215.014,215.06,201.515,1022.91,552665,80868.7,1
601577.0,0.012,16,500.3,500.679,500.764,469.221,989.21,533283,53618.5,1
449453.0,0.029,49,313.0,313.243,313.301,293.58,937.788,505990,20751.1,1
644695.0,0.012,7,496.351,496.698,496.744,465.526,994.148,537090,77229.2,1
0.0,0.012,63,0.765763,0.862735,0.988143,0.812636,1362.64,724237,0.0,0
531158.0,0.012,91,162.044,162.289,162.321,152.056,1008.24,546245,56839.6,1
826706.0,0.012,86,0.668537,0.895589,0.927563,0.752981,691.321,366198,5550.51,0
0.0,0.016,32,0.640847,0.808355,0.834609,0.705667,775.429,411055,0.0,0
572298.0,0.185,62,212.294,212.551,212.617,199.183,993.499,537113,2925.32,1
683072.0,0.012,2,625.239,625.729,625.853,586.427,1011.16,544223,37922.7,1
444179.0,0.3,8,387.318,387.57,387.724,363.287,935.035,492679,2069.51,1
517898.0,0.066,24,320.87,321.128,321.159,300.946,948.277,512820,10535.0,1
529241.0,0.016,22,522.929,523.24,523.312,490.42,897.906,484890,25871.0,1
0.0,0.016,85,0.814196,1.08375,1.18895,0.885673,1377.25,732029,0.0,0
0.0,0.012,54,0.801176,1.15063,1.24127,0.887158,1178.13,625827,0.0,0
481964.0,0.012,48,0.738834,0.949851,0.982396,0.782377,888.553,471388,1322.2,0
556005.0,0.054,4,460.552,461.019,461.047,431.996,975.891,526357,11360.6,1
520653.0,0.133,15,326.229,326.501,326.604,305.989,943.456,509562,5047.53,1
0.0,0.012,89,0.689497,0.991239,1.07558,0.782841,882.987,468419,0.0,0
595955.0,0.029,74,311.97,312.28,312.297,292.634,953.239,515035,17553.4,1
0.0,0.066,43,0.650265,0.994336,1.07234,0.78698,880.802,467254,0.0,0
383569.0,0.012,63,643.659,644.054,644.128,603.652,974.214,524237,87955.5,1
701205.0,0.002,40,240.687,240.975,241.022,225.792,981.101,529832,184484.0,1
516892.0,0.196,44,0.608292,0.908287,1.00163,0.765848,1065.25,565624,1962.49,0
931008.0,0.289,95,0.722448,1.00162,1.06269,0.789512,781.306,414190,1433.57,0
0.0,0.012,58,0.715496,1.02715,1.07542,0.794708,914.602,485281,0.0,0
593696.0,0.005,36,482.108,482.423,482.487,452.162,984.258,530521,102118.0,1
745723.0,0.029,73,0.740077,1.13212,1.2236,0.857515,1043.87,554224,859.234,0
421745.0,0.133,3,0.70978,0.931393,1.04133,0.790499,1090.71,579203,1237.09,0
0.0,0.029,7,0.69017,0.784473,0.861041,0.723212,899.581,477269,0.0,0
0.0,0.002,57,0.676917,0.986722,1.05401,0.775022,812.749,430959,0.0,0
0.0,0.009,26,0.652792,0.991517,1.00107,0.802776,1148.6,610082,0.0,0
0.0,0.005,45,0.797023,0.997639,1.11507,0.841513,1246.57,662333,0.0,0
605061.0,0.054,42,339.741,340.03,340.054,318.677,979.093,527410,9814.01,1
0.0,0.012,73,0.740077,1.13212,1.2236,0.857515,1043.87,554224,0.0,0
2.69e-321,0.002,56,447.982,448.344,448.424,420.18,918.404,495432,0.0,1
467006.0,0.3,4,460.552,461.019,461.047,431.996,975.891,514608,1973.35,1
0.0,0.012,60,0.697807,0.78886,0.887863,0.751847,1083.72,575478,0.0,0
501119.0,0.066,11,212.294,212.551,212.617,199.183,993.499,537113,10277.1,1
0.0,0.002,29,0.767907,1.0625,1.16703,0.845678,1216.27,646172,0.0,0
0.0,0.016,20,0.592206,0.68474,0.740479,0.633862,851.205,412685,0.0,0
474952.0,0.159,96,0.703147,0.957822,1.06773,0.807032,1110.42,589718,2622.75,0
626197.0,0.002,43,219.743,220.042,220.087,206.167,968.953,523681,117096.0,1
0.0,0.066,22,0.68801,1.0007,1.03476,0.774796,734.689,389327,0.0,0
0.0,0.005,37,0.805766,1.22612,1.30296,0.902681,1118.73,594149,0.0,0
0.0,0.002,46,0.751953,0.873435,0.972134,0.795413,1130.02,600173,0.0,0
577021.0,0.054,54,452.465,452.835,452.894,424.385,989.392,532382,9174.21,1
347555.0,0.133,49,0.663345,0.95889,0.981899,0.7603,740.302,392321,3.17293,0
498398.0,0.029,2,625.239,625.729,625.853,586.427,1011.16,544223,17537.0,1
0.0,0.159,74,0.68318,0.869062,0.878572,0.769346,1183.56,628726,0.0,0
110537.0,0.054,53,0.6334,0.810344,0.844582,0.701385,669.747,354691,1072.3,0
328874.0,0.009,49,313.0,313.243,313.301,293.58,937.788,505990,95988.1,1
671269.0,0.016,98,353.119,353.426,353.464,331.21,926.811,501392,60910.9,1
0.0,0.005,96,0.703147,0.957822,1.06773,0.807032,1110.42,589718,0.0,0
945377.0,0.054,92,0.712741,0.805857,0.877225,0.759304,1112.03,590575,3683.2,0
0.0,0.016,46,0.751953,0.873435,0.972134,0.795413,1130.02,600173,0.0,0
561339.0,0.066,87,525.23,525.558,525.633,492.571,982.095,529463,9566.41,1
539842.0,0.066,40,240.687,240.975,241.022,225.792,981.101,529832,9085.76,1
0.0,0.012,76,0.661773,0.921069,0.967572,0.752537,772.09,409274,0.0,0
0.0,0.016,60,0.697807,0.78886,0.887863,0.751847,1083.72,575478,0.0,0
0.0,0.054,57,0.676917,0.986722,1.05401,0.775022,812.749,430959,0.0,0
310062.0,0.289,48,0.738834,0.949851,0.982396,0.782377,888.553,471388,1969.49,0
432540.0,0.3,22,522.929,523.24,523.312,490.42,897.906,475496,1972.9,1
294398.0,0.196,37,0.805766,1.22612,1.30296,0.902681,1118.73,594149,2553.84,0
466268.0,0.3,88,351.863,352.245,352.284,330.08,989.667,515472,2089.52,1
869248.0,0.005,75,253.117,253.418,253.498,237.472,994.27,538681,98771.1,1
523561.0,0.012,53,625.239,625.729,625.853,586.427,1011.16,544223,50087.4,1
439705.0,0.016,31,434.656,435.07,435.111,407.711,1008.87,544165,27029.9,1
550296.0,0.159,72,287.286,287.602,287.655,269.489,989.706,534007,3748.92,1
0.0,0.029,65,0.602118,0.737494,0.79176,0.671485,984.468,522543,0.0,0
446931.0,0.016,30,136.854,137.112,137.144,128.439,972.545,526650,29787.8,1
686323.0,0.159,10,0.665086,0.877091,0.925295,0.769629,1149.75,610693,331.26,0
854596.0,0.029,26,0.652792,0.991517,1.00107,0.802776,1148.6,610082,2261.63,0
0.0,0.002,73,0.740077,1.13212,1.2236,0.857515,1043.87,554224,0.0,0
0.0,0.029,20,0.592206,0.68474,0.740479,0.633862,851.205,412685,0.0,0
442093.0,0.3,1,611.904,612.378,612.423,573.893,973.376,510208,1941.65,1
741959.0,0.012,88,351.863,352.245,352.284,330.08,989.667,533813,74479.3,1
454015.0,0.3,36,482.108,482.423,482.487,452.162,984.258,522415,2209.92,1
711863.0,0.005,40,240.687,240.975,241.022,225.792,981.101,529832,90615.3,1
650702.0,0.012,52,611.904,612.378,612.423,573.893,973.376,524621,44246.3,1
441859.0,0.3,71,381.73,381.967,382.031,358.018,1001.14,521800,1986.33,1
530786.0,0.159,46,343.936,344.273,344.315,322.608,965.201,520742,3571.18,1
0.0,0.005,99,0.593446,0.914479,0.934888,0.745328,677.304,358722,0.0,0
0.0,0.012,18,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0.0,0
19184.0,0.002,50,390.773,391.064,391.143,366.505,964.881,520744,529224.0,1
0.0,0.012,77,0.66221,0.85636,0.914912,0.722909,680.909,360644,0.0,0
