Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
870.379,321.159,512820,9,62735.8,475578.0,0.005,1321488,1255150,21870,102384,114488,23625,17550,83888,349109721,64215180,24,853.649,295.18,512707,1255350.0,97351.9,108809.0,79741.9,331304000,320.87,321.128,321.159,300.946,2510700.0,194704.0,217618.0,159484.0,662608000,948.277,665690000,1
776.793,220.051,523681,3,117096.0,626197.0,0.002,1493558,1403610,7290,117450,130358,7875,5850,95798,401945031,28182930,43,762.895,202.504,523058,1405700.0,110565.0,122703.0,90176.3,378585000,219.743,220.042,220.087,206.167,2811390.0,221130.0,245406.0,180352.0,757170000,968.953,760628000,1
609.6,1.03343,441681,0,0.0,0.0,0.012,11700,10920,0,972,1050,0,0,780,2650625,0,15,609.557,0.792497,441681,10968.8,911.25,984.375,731.25,2484960,0.660366,1.03343,1.104,0.792497,21937.5,1822.5,1968.75,1462.5,4969920,832.852,4997110,0
722.649,0.915889,662333,0,0.0,0.0,0.002,15600,14560,0,1296,1400,0,0,1040,5299383,0,45,722.629,0.841513,662333,14625.0,1215.0,1312.5,975.0,4968170,0.797023,0.997639,1.11507,0.841513,29250.0,2430.0,2625.0,1950.0,9936340,1246.57,9972600,0
582.684,0.746952,580323,2,2481.45,140974.0,0.133,15600,18460,4860,1296,1400,5250,3900,1040,5521996,4231935,24,582.663,0.771794,580322,18281.3,1518.75,1640.62,1218.75,5441370,0.669102,0.874683,0.951539,0.771794,36562.5,3037.5,3281.25,2437.5,10882700,1092.81,10928100,0
773.709,246.617,517321,183,3266.23,530260.0,0.185,1145988,1430650,444690,87804,98738,480375,356850,72188,302900314,1455811155,33,760.615,227.597,515358,1408910.0,110109.0,122590.0,89979.4,374957000,246.783,247.037,247.12,231.504,2817820.0,220219.0,245181.0,179959.0,749914000,958.496,753378000,1
810.435,326.553,509562,5,118024.0,667623.0,0.005,1426036,1345630,12150,109836,123186,13125,9750,90156,373288899,50078460,15,796.16,300.615,508738,1346050.0,103731.0,116307.0,85130.6,353088000,326.229,326.501,326.604,305.989,2692100.0,207461.0,232614.0,170261.0,706176000,943.456,709479000,1
790.48,387.563,504824,5,101881.0,513860.0,0.005,1454158,1372930,12150,110322,124683,13125,9750,90978,378129659,38546220,8,777.005,357.117,503872,1372410.0,104186.0,117711.0,85901.2,356906000,387.318,387.57,387.724,363.287,2744830.0,208373.0,235421.0,171802.0,713811000,935.035,717172000,1
817.204,287.376,534007,137,4370.19,554257.0,0.133,1158886,1353690,332910,87642,99211,359625,267150,72346,316076371,1139183400,72,803.569,265.013,532586,1336910.0,102971.0,115487.0,84521.3,367521000,287.286,287.602,287.655,269.489,2673820.0,205942.0,230974.0,169042.0,735041000,989.706,738321000,1
542.956,0.468681,457373,1,1936.5,307402.0,0.066,19500,20150,2430,1620,1750,2625,1950,1300,4724606,4612380,47,542.994,0.791119,457373,20109.4,1670.62,1804.69,1340.62,4717590,0.765354,0.982364,1.01682,0.791119,40218.8,3341.25,3609.38,2681.25,9435180,862.276,9485030,0
594.703,0.450486,483264,324,1840.41,440300.0,0.3,1329900,1320710,36450,110484,119350,152370,79470,88660,343722909,715962675,5,745.131,413.137,494480,1436020.0,105857.0,121414.0,88085.6,366988000,447.982,448.344,448.424,420.18,2872050.0,211714.0,242828.0,176171.0,733976000,918.404,737479000,1
432.233,0.874243,445143,0,0.0,0.0,0.002,25350,23660,0,2106,2275,0,0,1690,5788024,0,25,432.215,0.792786,445143,23765.6,1974.38,2132.81,1584.38,5426270,0.759372,0.971695,1.06264,0.792786,47531.2,3948.75,4265.62,3168.75,10852500,839.343,10911500,0
441.359,0.683772,618543,1,1039.07,492535.0,0.029,11700,12870,2430,972,1050,2625,1950,780,3837804,7389375,55,441.356,0.773098,618543,12796.9,1063.12,1148.44,853.125,4059780,0.680853,0.894507,0.949629,0.773098,25593.8,2126.25,2296.88,1706.25,8119550,1164.47,8151280,0
830.521,313.047,505990,14,42576.5,674222.0,0.016,1376652,1315860,34020,107892,119952,36750,27300,88092,355945935,141605550,49,815.92,288.428,505442,1316210.0,103275.0,114752.0,84292.5,342550000,313.0,313.243,313.301,293.58,2632410.0,206550.0,229504.0,168585.0,685099000,937.788,688336000,1
429.03,1.07542,485281,0,0.0,0.0,0.012,21450,20020,0,1782,1925,0,0,1430,5339078,0,58,428.975,0.794708,485281,20109.4,1670.62,1804.69,1340.62,5005390,0.715496,1.02715,1.07542,0.794708,40218.8,3341.25,3609.38,2681.25,10010800,914.602,10060600,0
