Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
864.448,528085,981.101,1
479.38,525864,990.696,0
574.189,579203,1090.71,0
690.375,454083,856.106,0
582.899,657387,1237.3,0
410.778,589718,1110.42,0
521.424,409274,772.09,0
410.845,589718,1110.42,0
429.015,485281,914.602,0
798.886,517161,960.232,1
847.048,549057,1017.86,1
596.039,455996,859.692,0
775.737,714262,1343.94,0
778.913,516325,959.627,1
801.999,538097,998.115,1
817.588,521269,967.889,1
810.835,550899,1022.91,1
817.864,545006,1008.24,1
733.468,533647,991.295,1
763.322,523515,973.376,1
806.478,531795,987.871,1
533.883,606000,1140.95,0
806.998,522566,968.333,1
805.691,510810,946.659,1
725.126,643812,1211.85,0
533.183,360644,680.909,0
441.391,618543,1164.47,0
499.312,430958,812.747,0
746.082,414006,780.962,0
826.6,535202,994.961,1
847.048,549057,1017.86,1
567.132,468419,882.987,0
532.061,509570,960.144,0
518.232,584460,1100.56,0
798.72,520927,968.594,1
820.373,508556,944.674,1
585.998,605493,1140,0
810.522,535380,995.159,1
785.879,521886,969.937,1
543.014,457373,862.276,0
533.206,360644,680.909,0
818.497,519520,965.201,1
428.153,598481,1126.85,0
572.388,646172,1216.27,0
820.373,508556,944.674,1
471.928,584773,1101.15,0
517.7,475198,895.697,0
1153.62,495276,933.342,0
775.987,506590,941.402,1
690.365,454083,856.106,0
483.502,407391,768.558,0
851.698,519049,962.396,1
1578.84,673913,1268.29,0
428.165,598481,1126.85,0
793.469,518725,962.853,1
810.435,508738,943.456,1
449.201,668752,1258.61,0
817.863,545006,1008.24,1
798.887,517161,960.232,1
747.151,772806,1453.71,0
651.747,525413,972.545,1
606.58,389539,735.085,0
693.911,366198,691.321,0
372.164,537918,1013.3,0
452.965,565624,1065.25,0
763.664,515166,956.665,1
794.561,528119,979.916,1
763.665,515166,956.665,1
533.809,606000,1140.95,0
452.093,651425,1226.12,0
773.615,544183,1012.33,1
538.062,574545,1081.97,0
851.698,519049,962.396,1
625.511,738969,1390.27,0
851.697,519049,962.396,1
763.665,515166,956.665,1
518.237,519715,979.165,0
533.848,606000,1140.95,0
817.587,521269,967.889,1
722.574,662333,1246.57,0
790.482,503872,935.035,1
794.561,528119,979.916,1
820.373,508556,944.674,1
